ID,날짜,User,점수,순위,소점,,User,총점,경기수,평균순위,평균우마,
1,2025. 4. 3. 오전 12:51:17,유키,37800,1,57.8,,하레,256.2,,,,
1,2025. 4. 3. 오전 12:51:17,세탁기,36000,2,16,,도하,129.5,,,,
1,2025. 4. 3. 오전 12:51:17,숲노을,15400,3,-24.6,,라부,106.7,,,,
1,2025. 4. 3. 오전 12:51:17,쿼티,10800,4,-49.2,,루빙,85.6,,,,
1,2025. 4. 3. 오전 1:40:09,유키,31600,1,51.6,,친없아,85.6,,,,
1,2025. 4. 3. 오전 1:40:09,페이클라나,24700,2,4.7,,옥토끼,85.3,,,,
1,2025. 4. 3. 오전 1:40:09,숲노을,22100,3,-17.9,,희망의노래,22.9,,,,
1,2025. 4. 3. 오전 1:40:09,쿼티,21600,4,-38.4,,에르타엔,12.5,,,,
2,2025. 4. 3. 오후 9:11:43,하레,52500,1,72.5,,페리뇽,11.5,,,,
2,2025. 4. 3. 오후 9:11:43,친없아,32600,2,12.6,,소나티나,6.3,,,,
2,2025. 4. 3. 오후 9:11:43,세탁기,12000,3,-28,,세탁기,6.1,,,,
2,2025. 4. 3. 오후 9:11:43,유키,2900,4,-57.1,,페이클라나,4.7,,,,
3,2025. 4. 4. 오후 8:47:41,유키,45100,1,65.1,,에온탑,0.2,,,,
3,2025. 4. 4. 오후 8:47:41,에르타엔,32500,2,12.5,,레미누스,-2.8,,,,
3,2025. 4. 4. 오후 8:47:41,하레,15600,3,-24.4,,오징어,-17,,,,
3,2025. 4. 4. 오후 8:47:41,루빙,6800,4,-53.2,,민미민미,-18.4,,,,
4,2025. 4. 4. 오후 9:32:49,세탁기,34400,1,54.4,,나루치,-21.4,,,,
4,2025. 4. 4. 오후 9:32:49,옥토끼,24300,2,4.3,,언꾸놈,-26.9,,,,
4,2025. 4. 4. 오후 9:32:49,유키,23900,3,-16.1,,유키,-27.5,,,,
4,2025. 4. 4. 오후 9:32:49,쿠로와상,17400,4,-42.6,,쿠로와상,-42.6,,,,
5,2025. 4. 5. 오전 1:35:46,도하,67000,1,87,,꿈검,-43.1,,,,
5,2025. 4. 5. 오전 1:35:46,친없아,19300,2,-0.7,,탕야오전사,-44.5,,,,
